Song,Artist,Genre,Image_URL,Mood
나는 반딧불,황가람,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/20/541/11620541_20241018183253_500.jpg/melon/resize/120/quality/80/optimize,Sad
내게 사랑이 뭐냐고 물어본다면,로이킴,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/16/312/11616312_20241015135802_500.jpg/melon/resize/120/quality/80/optimize,Sad
소나기,이클립스 (ECLIPSE),Ballad,https://cdnimg.melon.co.kr/cm2/album/images/114/59/325/11459325_20240405171054_500.jpg/melon/resize/120/quality/80/optimize,Sad
천상연,이창섭,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/114/21/941/11421941_20240220105008_500.jpg/melon/resize/120/quality/80/optimize,Sad
슬픈 초대장,순순희(지환),Ballad,https://cdnimg.melon.co.kr/cm2/album/images/113/86/568/11386568_20231218192452_500.jpg/melon/resize/120/quality/80/optimize,Sad
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),Ballad,https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg/melon/resize/120/quality/80/optimize,Sad
Love wins all,아이유,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg/melon/resize/120/quality/80/optimize,Sad
첫 눈,EXO,Ballad,https://cdnimg.melon.co.kr/cm/album/images/022/19/671/2219671_500.jpg/melon/resize/120/quality/80/optimize,Sad
너의 모든 순간,성시경,Ballad,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/120/quality/80/optimize,Sad
그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),Ballad,https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/120/quality/80/optimize,Sad
비의 랩소디,임재현,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg/melon/resize/120/quality/80/optimize,Sad
미안해 미워해 사랑해,Crush,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/114/49/278/11449278_20240322170237_500.jpg/melon/resize/120/quality/80/optimize,Sad
number one girl,로제 (ROSÉ),Ballad,https://cdnimg.melon.co.kr/cm2/album/images/116/48/244/11648244_20241122102042_500.jpg/melon/resize/120/quality/80/optimize,Sad
헤어지자 말해요,박재정,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize,Sad
눈이 오잖아(Feat.헤이즈),이무진,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/108/01/677/10801677_20211202181813_500.jpg/melon/resize/120/quality/80/optimize,Sad
사랑은 늘 도망가,임영웅,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/120/quality/80/optimize,Sad
인사,범진,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg/melon/resize/120/quality/80/optimize,Sad
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,Ballad,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/120/quality/80/optimize,Sad
다정히 내 이름을 부르면,경서예지,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg/melon/resize/120/quality/80/optimize,Sad
살기 위해서,순순희,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/109/29/042/10929042_20220422022623_500.jpg/melon/resize/120/quality/80/optimize,Sad
사랑인가 봐,멜로망스,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/120/quality/80/optimize,Sad
청혼하지 않을 이유를 못 찾았어,이무진,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/114/55/285/11455285_20240401151801_500.jpg/melon/resize/120/quality/80/optimize,Sad
취중고백,김민석,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg/melon/resize/120/quality/80/optimize,Sad
사막에서 꽃을 피우듯,우디 (Woody),Ballad,https://cdnimg.melon.co.kr/cm2/album/images/112/85/867/11285867_20230713162404_500.jpg/melon/resize/120/quality/80/optimize,Sad
우리들의 블루스,임영웅,Ballad,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,Sad
